,cls_id,label,score,coordinate,box,is_measurement_column
0,0,cell,0.9731632471084595,"[247.2122802734375, 1417.2315673828125, 1199.5037841796875, 1680.4102783203125]",False,
1,0,cell,0.9721142053604126,"[1195.8402099609375, 1393.009033203125, 2865.145751953125, 1678.8526611328125]",False,
2,0,cell,0.9586617946624756,"[294.9110107421875, 844.703857421875, 1209.2845458984375, 997.45849609375]",False,
3,0,cell,0.9581049084663391,"[1689.8529052734375, 826.0762329101562, 2391.710693359375, 983.9085693359375]",False,
4,0,cell,0.9576729536056519,"[1205.7677001953125, 833.732421875, 1693.6611328125, 992.9671020507812]",False,
5,0,cell,0.9563097953796387,"[2386.52587890625, 815.75927734375, 2812.572265625, 978.1395874023438]",False,
6,0,cell,0.9550216197967529,"[264.21160888671875, 2999.030517578125, 814.8322143554688, 3120.583740234375]",False,
7,0,cell,0.9538649320602417,"[1175.9144287109375, 3470.49658203125, 1762.5537109375, 3599.987060546875]",False,
8,0,cell,0.9538440108299255,"[225.30645751953125, 3460.315673828125, 793.9547119140625, 3591.330322265625]",False,
9,0,cell,0.9534396529197693,"[254.6845703125, 3114.558349609375, 810.68408203125, 3234.469970703125]",False,
10,0,cell,0.9529626369476318,"[236.8931121826172, 3344.3583984375, 800.17919921875, 3466.787109375]",False,
11,0,cell,0.9526103734970093,"[1186.344482421875, 3004.728271484375, 1756.4849853515625, 3127.715087890625]",False,
12,0,cell,0.9525948166847229,"[180.88404846191406, 1640.2137451171875, 3001.412841796875, 2364.004150390625]",False,
13,0,cell,0.9522625207901001,"[245.18775939941406, 3229.172119140625, 805.6061401367188, 3348.4765625]",False,
14,0,cell,0.9517834186553955,"[2151.01513671875, 3006.313232421875, 2716.193359375, 3128.9072265625]",False,
15,0,cell,0.9511281847953796,"[1178.3179931640625, 3352.25341796875, 1761.325439453125, 3475.783935546875]",False,
16,0,cell,0.9509932994842529,"[2145.873046875, 2894.8046875, 2708.163330078125, 3010.05859375]",False,
17,0,cell,0.9508160352706909,"[2159.457275390625, 3242.01123046875, 2733.324462890625, 3362.186279296875]",False,
18,0,cell,0.9507659673690796,"[2141.44287109375, 2784.918212890625, 2700.265380859375, 2897.9287109375]",False,
19,0,cell,0.9507632851600647,"[316.81207275390625, 547.96044921875, 2792.64013671875, 679.5888061523438]",False,
20,0,cell,0.950438916683197,"[273.4430847167969, 2889.5341796875, 819.5867919921875, 3002.9931640625]",False,
21,0,cell,0.9501511454582214,"[2164.19970703125, 3356.947265625, 2743.364501953125, 3484.324462890625]",False,
22,0,cell,0.949833869934082,"[1181.031494140625, 3237.453369140625, 1759.7386474609375, 3357.3515625]",False,
23,0,cell,0.9497383832931519,"[1183.8875732421875, 3122.632080078125, 1758.031494140625, 3242.140380859375]",False,
24,0,cell,0.9489014744758606,"[1198.7647705078125, 1305.9921875, 2846.866455078125, 1418.8782958984375]",False,
